Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry	k7_EUR	k7_AHG	k7_WAS	k7_NAT	k7_EAS	k7_SAS	k7_AFR	k8_EUR	k8_AFR	k8_NAT	k8_EAS	k8_SAS	k8_AHG	k8_OCE	k8_WAS	k6_AHG	k6_EAS	k6_NAT	k6_AFR	k6_EUR	k6_SAS	Panel
HG00108	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.001217	1e-05	0.998743	1e-05	EUR
HG00109	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999928	1e-05	1e-05	1e-05	1.2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00110	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00111	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00112	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00113	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1e-05	0.999948	1e-05	EUR
HG00114	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00115	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.001121	1e-05	0.9988379999999999	1e-05	EUR
HG00116	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00117	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00118	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00119	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	0.999949	1e-05	EUR
HG00120	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999927	1e-05	1e-05	1e-05	1.3000000000000001e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00121	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00122	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.001381	1e-05	0.9985790000000001	1e-05	EUR
HG00123	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00125	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.000799	1e-05	0.9991610000000001	1e-05	EUR
HG00126	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)	LP6005442-DNA_E10	England	Kent	1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999927	1e-05	1e-05	1e-05	1.3000000000000001e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00127	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00128	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)	LP6005442-DNA_F10	England	Kent	1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00129	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00130	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00131	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00132	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9986010000000001	1e-05	0.001349	1e-05	1e-05	1e-05	1e-05	0.998035	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.001905	1e-05	1e-05	1.1e-05	1e-05	0.999949	1e-05	EUR
HG00133	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.999949	1e-05	EUR
HG00136	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00137	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00138	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00139	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9799469999999999	1e-05	0.020003	1e-05	1e-05	1e-05	1e-05	0.979136	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.020804	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	
HG00140	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.0020440000000000002	1e-05	0.997916	1e-05	EUR
HG00141	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00142	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.973144	1e-05	0.026806	1e-05	1e-05	1e-05	1e-05	0.972867	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.027073000000000003	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	
HG00143	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.981542	1e-05	0.018408	1e-05	1e-05	1e-05	1e-05	0.981309	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.018631	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	
HG00145	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00146	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00148	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.999949	1e-05	EUR
HG00149	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4000000000000001e-05	1e-05	1e-05	0.9999459999999999	1e-05	EUR
HG00150	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9990610000000001	1e-05	1e-05	1e-05	0.0008789999999999999	1e-05	1e-05	1e-05	1e-05	1e-05	0.003493	1e-05	0.996467	1e-05	EUR
HG00151	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.985821	1e-05	0.014129	1e-05	1e-05	1e-05	1e-05	0.985733	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.014207	1.1e-05	1e-05	0.00187	1e-05	0.9980889999999999	1e-05	
HG00154	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00155	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00157	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00158	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.003543	1e-05	0.996417	1e-05	EUR
HG00159	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00160	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00171	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.926322	1e-05	1e-05	0.019407	0.054230999999999994	1e-05	1e-05	0.9263889999999999	1e-05	0.019284	0.054277	1e-05	1e-05	1e-05	1e-05	1e-05	0.060441999999999996	0.032629000000000005	1e-05	0.9069	1e-05	
HG00173	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.955051	1e-05	1e-05	0.018164	0.026744999999999998	1e-05	1e-05	0.9550299999999999	1e-05	0.018168	0.026751999999999998	1e-05	1e-05	1e-05	1e-05	1e-05	0.033726	0.02938	1e-05	0.9368639999999999	1e-05	
HG00174	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002		LP6005442-DNA_D10	Finland		1	0.970318	1e-05	1e-05	0.01102	0.018622	1e-05	1e-05	0.9703719999999999	1e-05	0.010983	0.018595	1e-05	1e-05	1e-05	1e-05	1e-05	0.023559	0.020589	1e-05	0.955822	1e-05	
HG00176	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9309149999999999	1e-05	1e-05	0.015509	0.053536	1e-05	1e-05	0.930976	1e-05	0.015384	0.05359	1e-05	1e-05	1e-05	1e-05	1e-05	0.059644	0.027944	1e-05	0.912382	1e-05	
HG00177	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.927901	1e-05	1e-05	0.017174000000000002	0.054885	1e-05	1e-05	0.928099	1e-05	0.01715	0.054701	1e-05	1e-05	1e-05	1e-05	1e-05	0.061612	0.030119	1e-05	0.9082389999999999	1e-05	
HG00178	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.954867	1e-05	1e-05	0.004346	0.040747000000000005	1e-05	1e-05	0.9549139999999999	1e-05	0.0042840000000000005	0.040751	1e-05	1e-05	1e-05	1e-05	1e-05	0.046458	0.013576	1e-05	0.9399360000000001	1e-05	
HG00179	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.937193	1e-05	1e-05	0.016388999999999997	0.046377999999999996	1e-05	1e-05	0.937103	1.1e-05	0.016219	0.046626999999999995	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.051983	0.029177999999999996	1e-05	0.918808	1e-05	
HG00180	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.941895	1e-05	1e-05	0.015893	0.042172	1.1e-05	1e-05	0.941896	1e-05	0.015740999999999998	0.042312999999999996	1.1e-05	1e-05	1e-05	1e-05	1e-05	0.047421	0.028013	1e-05	0.924536	1e-05	
HG00181	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.904647	1e-05	0.042692	0.004495	0.038756	0.00939	1e-05	0.9046489999999999	1e-05	0.004413	0.038312	0.00915	1e-05	0.0009720000000000001	0.042484	1e-05	0.043224	0.011156000000000001	1e-05	0.9455899999999999	1e-05	
HG00182	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.935672	1e-05	1e-05	0.019929	0.044358999999999996	1e-05	1e-05	0.935686	1e-05	0.019880000000000002	0.044384	1e-05	1e-05	1e-05	1e-05	1e-05	0.051075999999999996	0.031927	1e-05	0.916967	1e-05	
HG00183	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9420950000000001	1e-05	1e-05	0.017143000000000002	0.040721	1e-05	1e-05	0.942155	1e-05	0.017021	0.040774	1e-05	1e-05	1e-05	1e-05	1e-05	0.047159	0.030325	1e-05	0.922486	1e-05	
HG00185	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9352540000000001	1e-05	1e-05	0.0038299999999999996	0.060876	1e-05	1e-05	0.9353530000000001	1e-05	0.0038619999999999995	0.060735000000000004	1e-05	1e-05	1e-05	1e-05	1e-05	0.066711	0.015000999999999999	1e-05	0.918258	1e-05	
HG00186	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9399850000000001	1e-05	1e-05	0.0168	0.043175	1e-05	1e-05	0.9400809999999999	1e-05	0.016721	0.043148	1e-05	1e-05	1e-05	1e-05	1e-05	0.051717	0.027844999999999998	1e-05	0.920408	1e-05	
HG00187	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9261440000000001	1e-05	1e-05	0.021197	0.052619000000000006	1e-05	1e-05	0.9262600000000001	1e-05	0.021190999999999998	0.052499000000000004	1e-05	1e-05	1e-05	1e-05	1e-05	0.057125999999999996	0.034719	1e-05	0.908125	1e-05	
HG00188	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9560219999999999	1e-05	1e-05	0.0075840000000000005	0.036355	1e-05	1e-05	0.9560559999999999	1e-05	0.007554000000000001	0.03634	1e-05	1e-05	1e-05	1e-05	1e-05	0.042141000000000005	0.015719	1e-05	0.942109	1e-05	
HG00189	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002					1	0.9464879999999999	1e-05	1e-05	0.010387	0.043085000000000005	1e-05	1e-05	0.9466	1e-05	0.010426000000000001	0.042924000000000004	1e-05	1e-05	1e-05	1e-05	1e-05	0.048531	0.021922	1e-05	0.929517	1e-05	
HG00190	FIN	Finnish	EUR	European	1kG	64.49884603	26.274665600000002		LP6005442-DNA_C10	Finland		1	0.964722	1e-05	1e-05	0.008427	0.026811	1e-05	1e-05	0.9647459999999999	1e-05	0.008345	0.026858999999999997	1e-05	1e-05	1e-05	1e-05	1e-05	0.032539	0.016738	1e-05	0.950692	1e-05	
HG00231	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.995483	1e-05	0.0044670000000000005	1e-05	1e-05	1e-05	1e-05	0.994885	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.005055	1e-05	1e-05	0.00288	1e-05	0.99708	1e-05	EUR
